# src groups:          1
# obs groups:          3600
# TOPs:                3600
# plane waves:         2888
# multipole order: L = 38
x_by_lambda_0 y_by_lambda_0 rel_err_db
1.263848e+01 1.168952e+02 -212.073111
1.263848e+01 1.314147e+02 -211.698972
1.263848e+01 1.477378e+02 -215.973749
1.263848e+01 1.660883e+02 -232.572617
1.263848e+01 1.867181e+02 -218.734232
1.263848e+01 2.099104e+02 -216.300054
1.263848e+01 2.359833e+02 -213.597517
1.263848e+01 2.652948e+02 -212.563120
1.263848e+01 2.982471e+02 -213.195512
1.263848e+01 3.352924e+02 -213.733642
1.263848e+01 3.769391e+02 -216.091927
1.263848e+01 4.237587e+02 -218.807847
1.263848e+01 4.763938e+02 -221.506897
1.263848e+01 5.355667e+02 -227.719575
1.263848e+01 6.020894e+02 -221.024093
1.263848e+01 6.768750e+02 -225.734555
1.263848e+01 7.609497e+02 -225.031256
1.263848e+01 8.554673e+02 -221.120667
1.263848e+01 9.617249e+02 -215.818758
1.263848e+01 1.081181e+03 -215.382614
1.263848e+01 1.215474e+03 -216.897827
1.263848e+01 1.366448e+03 -217.263469
1.263848e+01 1.536175e+03 -214.049921
1.263848e+01 1.726983e+03 -215.588232
1.263848e+01 1.941492e+03 -214.776584
1.263848e+01 2.182645e+03 -213.317217
1.263848e+01 2.453751e+03 -213.946111
1.263848e+01 2.758532e+03 -214.131039
1.263848e+01 3.101169e+03 -213.998923
1.263848e+01 3.486365e+03 -214.851277
1.263848e+01 3.919407e+03 -214.574747
1.263848e+01 4.406236e+03 -214.153319
1.263848e+01 4.953535e+03 -213.973784
1.263848e+01 5.568814e+03 -214.853335
1.263848e+01 6.260517e+03 -213.743816
1.263848e+01 7.038136e+03 -210.651499
1.263848e+01 7.912343e+03 -214.439450
1.263848e+01 8.895135e+03 -212.452664
1.263848e+01 1.000000e+04 -212.157322

1.420831e+01 1.000000e+01 -224.364684
1.420831e+01 1.124210e+01 -223.202153
1.420831e+01 1.263848e+01 -219.266359
1.420831e+01 1.420831e+01 -222.135606
1.420831e+01 1.597312e+01 -227.303991
1.420831e+01 1.795714e+01 -217.218147
1.420831e+01 2.018760e+01 -222.959718
1.420831e+01 2.269511e+01 -215.028243
1.420831e+01 2.551407e+01 -218.177913
1.420831e+01 2.868317e+01 -211.642085
1.420831e+01 3.224591e+01 -213.595500
1.420831e+01 3.625117e+01 -206.387243
1.420831e+01 4.075393e+01 -205.817151
1.420831e+01 4.581598e+01 -202.051968
1.420831e+01 5.150678e+01 -199.180094
1.420831e+01 5.790444e+01 -200.626682
1.420831e+01 6.509675e+01 -205.885275
1.420831e+01 7.318242e+01 -206.127328
1.420831e+01 8.227241e+01 -207.620479
1.420831e+01 9.249147e+01 -213.615331
1.420831e+01 1.039798e+02 -218.184526
1.420831e+01 1.168952e+02 -212.004721
1.420831e+01 1.314147e+02 -211.444450
1.420831e+01 1.477378e+02 -216.805606
1.420831e+01 1.660883e+02 -232.995994
1.420831e+01 1.867181e+02 -218.196574
1.420831e+01 2.099104e+02 -216.473742
1.420831e+01 2.359833e+02 -213.754155
1.420831e+01 2.652948e+02 -212.586294
1.420831e+01 2.982471e+02 -213.267298
1.420831e+01 3.352924e+02 -213.807441
1.420831e+01 3.769391e+02 -215.590636
1.420831e+01 4.237587e+02 -218.876487
1.420831e+01 4.763938e+02 -220.612944
1.420831e+01 5.355667e+02 -229.257164
1.420831e+01 6.020894e+02 -221.611161
1.420831e+01 6.768750e+02 -223.952432
1.420831e+01 7.609497e+02 -225.966857
1.420831e+01 8.554673e+02 -221.489075
1.420831e+01 9.617249e+02 -215.649273
1.420831e+01 1.081181e+03 -215.256193
1.420831e+01 1.215474e+03 -217.588794
1.420831e+01 1.366448e+03 -217.170576
1.420831e+01 1.536175e+03 -214.559194
1.420831e+01 1.726983e+03 -216.361514
1.420831e+01 1.941492e+03 -215.668744
1.420831e+01 2.182645e+03 -213.304480
1.420831e+01 2.453751e+03 -213.993046
1.420831e+01 2.758532e+03 -214.163380
1.420831e+01 3.101169e+03 -213.067452
1.420831e+01 3.486365e+03 -214.449417
1.420831e+01 3.919407e+03 -214.064466
1.420831e+01 4.406236e+03 -213.561830
1.420831e+01 4.953535e+03 -213.653046
1.420831e+01 5.568814e+03 -213.942783
1.420831e+01 6.260517e+03 -214.709599
1.420831e+01 7.038136e+03 -211.574151
1.420831e+01 7.912343e+03 -213.610269
1.420831e+01 8.895135e+03 -212.042105
1.420831e+01 1.000000e+04 -212.467982

1.597312e+01 1.000000e+01 -221.074106
1.597312e+01 1.124210e+01 -219.620119
1.597312e+01 1.263848e+01 -220.280670
1.597312e+01 1.420831e+01 -228.695870
1.597312e+01 1.597312e+01 -220.233925
1.597312e+01 1.795714e+01 -216.913253
1.597312e+01 2.018760e+01 -217.791211
1.597312e+01 2.269511e+01 -215.553238
1.597312e+01 2.551407e+01 -218.151977
1.597312e+01 2.868317e+01 -211.976155
1.597312e+01 3.224591e+01 -211.606628
1.597312e+01 3.625117e+01 -206.350942
1.597312e+01 4.075393e+01 -206.180579
1.597312e+01 4.581598e+01 -201.960066
1.597312e+01 5.150678e+01 -198.824033
1.597312e+01 5.790444e+01 -200.779302
1.597312e+01 6.509675e+01 -206.976960
1.597312e+01 7.318242e+01 -206.689560
1.597312e+01 8.227241e+01 -207.490776
1.597312e+01 9.249147e+01 -215.753246
