x_by_lambda_0 z_by_lambda_0 g_tm_full_log g_tm_refl_re g_te_full_log g_te_refl_re
0.000000e+00 5.840580e+00 -6.704791e+01 -6.305383e-05 -6.704739e+01 -5.829667e-05
0.000000e+00 5.985507e+00 -6.732155e+01 -1.023515e-04 -6.732114e+01 -1.017786e-04
0.000000e+00 6.130435e+00 -6.758718e+01 -6.258048e-05 -6.758687e+01 -6.628531e-05
0.000000e+00 6.275362e+00 -6.784524e+01 2.298799e-05 -6.784502e+01 1.809888e-05
0.000000e+00 6.420290e+00 -6.809615e+01 8.778960e-05 -6.809601e+01 8.545135e-05
0.000000e+00 6.565217e+00 -6.834027e+01 8.356837e-05 -6.834022e+01 8.533363e-05
0.000000e+00 6.710145e+00 -6.857796e+01 1.614671e-05 -6.857799e+01 2.039543e-05
0.000000e+00 6.855072e+00 -6.880955e+01 -6.102726e-05 -6.880966e+01 -5.764806e-05
0.000000e+00 7.000000e+00 -6.903534e+01 -8.909295e-05 -6.903551e+01 -8.904681e-05

1.449275e-01 -3.000000e+00 -7.148393e+01 -1.858604e-05 -7.145956e+01 -3.060266e-05
1.449275e-01 -2.855072e+00 -7.080582e+01 -1.052721e-04 -7.077943e+01 -9.976329e-05
1.449275e-01 -2.710145e+00 -7.011922e+01 2.292559e-05 -7.009061e+01 3.775671e-05
1.449275e-01 -2.565217e+00 -6.942357e+01 1.233942e-04 -6.939254e+01 1.161768e-04
1.449275e-01 -2.420290e+00 -6.871825e+01 -2.823865e-05 -6.868458e+01 -4.668333e-05
1.449275e-01 -2.275362e+00 -6.800258e+01 -1.453374e-04 -6.796601e+01 -1.358153e-04
1.449275e-01 -2.130435e+00 -6.727581e+01 3.475233e-05 -6.723605e+01 5.789324e-05
1.449275e-01 -1.985507e+00 -6.653710e+01 1.721525e-04 -6.649382e+01 1.594850e-04
1.449275e-01 -1.840580e+00 -6.578550e+01 -4.274660e-05 -6.573835e+01 -7.207851e-05
1.449275e-01 -1.695652e+00 -6.501996e+01 -2.052805e-04 -6.496852e+01 -1.882608e-04
1.449275e-01 -1.550725e+00 -6.423929e+01 5.256059e-05 -6.418310e+01 9.019397e-05
1.449275e-01 -1.405797e+00 -6.344212e+01 2.467463e-04 -6.338065e+01 2.236082e-04
1.449275e-01 -1.260870e+00 -6.262693e+01 -6.458780e-05 -6.255957e+01 -1.135848e-04
1.449275e-01 -1.115942e+00 -6.179192e+01 -2.994819e-04 -6.171799e+01 -2.675805e-04
1.449275e-01 -9.710145e-01 -6.093506e+01 7.923664e-05 -6.085377e+01 1.441928e-04
1.449275e-01 -8.260870e-01 -6.005397e+01 3.678835e-04 -5.996443e+01 3.231538e-04
1.449275e-01 -6.811594e-01 -5.914585e+01 -9.678703e-05 -5.904706e+01 -1.849027e-04
1.449275e-01 -5.362319e-01 -5.820742e+01 -4.588237e-04 -5.809826e+01 -3.948350e-04
1.449275e-01 -3.913043e-01 -5.723480e+01 1.169327e-04 -5.711402e+01 2.401436e-04
1.449275e-01 -2.463768e-01 -5.622334e+01 5.835828e-04 -5.608964e+01 4.898579e-04
1.449275e-01 -1.014493e-01 -5.516751e+01 -1.373110e-04 -5.501963e+01 -3.169696e-04
1.449275e-01 4.347826e-02 -5.286424e+01 -6.091567e-04 -5.333568e+01 -6.501169e-04
1.449275e-01 1.884058e-01 -4.852990e+01 -8.685900e-05 -4.883687e+01 -2.450689e-04
1.449275e-01 3.333333e-01 -4.767465e+01 3.752200e-04 -4.746987e+01 2.475596e-04
1.449275e-01 4.782609e-01 -4.709621e+01 4.923968e-04 -4.698890e+01 4.693873e-04
1.449275e-01 6.231884e-01 -4.361805e+01 2.523724e-04 -4.374448e+01 3.161003e-04
1.449275e-01 7.681159e-01 -3.990244e+01 -1.218066e-04 -3.990847e+01 -4.004150e-05
1.449275e-01 9.130435e-01 -3.610586e+01 -3.531167e-04 -3.606722e+01 -3.139828e-04
1.449275e-01 1.057971e+00 -3.555116e+01 -3.024307e-04 -3.553159e+01 -3.217669e-04
1.449275e-01 1.202899e+00 -3.972572e+01 -4.375874e-05 -3.971102e+01 -9.401266e-05
1.449275e-01 1.347826e+00 -4.343010e+01 2.138107e-04 -4.341692e+01 1.746289e-04
1.449275e-01 1.492754e+00 -4.623317e+01 2.873809e-04 -4.622104e+01 2.842282e-04
1.449275e-01 1.637681e+00 -4.843518e+01 1.452140e-04 -4.842398e+01 1.728843e-04
1.449275e-01 1.782609e+00 -5.023726e+01 -8.732050e-05 -5.022695e+01 -5.436534e-05
1.449275e-01 1.927536e+00 -5.175894e+01 -2.330342e-04 -5.174947e+01 -2.190994e-04
1.449275e-01 2.072464e+00 -5.307432e+01 -1.946348e-04 -5.306564e+01 -2.062199e-04
1.449275e-01 2.217391e+00 -5.423195e+01 -1.709955e-05 -5.422400e+01 -4.158455e-05
1.449275e-01 2.362319e+00 -5.526515e+01 1.575803e-04 -5.525790e+01 1.398153e-04
1.449275e-01 2.507246e+00 -5.619777e+01 2.016512e-04 -5.619116e+01 2.022840e-04
1.449275e-01 2.652174e+00 -5.704739e+01 9.333416e-05 -5.704138e+01 1.091190e-04
1.449275e-01 2.797101e+00 -5.782740e+01 -7.570861e-05 -5.782194e+01 -5.836366e-05
1.449275e-01 2.942029e+00 -5.854817e+01 -1.761395e-04 -5.854321e+01 -1.699857e-04
1.449275e-01 3.086957e+00 -5.921792e+01 -1.386383e-04 -5.921343e+01 -1.466063e-04
1.449275e-01 3.231884e+00 -5.984328e+01 -6.251823e-07 -5.983923e+01 -1.507239e-05
1.449275e-01 3.376812e+00 -6.042968e+01 1.286699e-04 -6.042603e+01 1.190735e-04
1.449275e-01 3.521739e+00 -6.098159e+01 1.536858e-04 -6.097831e+01 1.553298e-04
1.449275e-01 3.666667e+00 -6.150278e+01 6.238619e-05 -6.149984e+01 7.272231e-05
1.449275e-01 3.811594e+00 -6.199641e+01 -7.002953e-05 -6.199379e+01 -5.956762e-05
1.449275e-01 3.956522e+00 -6.246521e+01 -1.422610e-04 -6.246288e+01 -1.393451e-04
1.449275e-01 4.101449e+00 -6.291149e+01 -1.037930e-04 -6.290944e+01 -1.097295e-04
1.449275e-01 4.246377e+00 -6.333729e+01 1.037910e-05 -6.333548e+01 8.964350e-07
1.449275e-01 4.391304e+00 -6.374436e+01 1.106016e-04 -6.374278e+01 1.049128e-04
1.449275e-01 4.536232e+00 -6.413424e+01 1.224687e-04 -6.413288e+01 1.243745e-04
1.449275e-01 4.681159e+00 -6.450831e+01 4.164645e-05 -6.450714e+01 4.898901e-05
1.449275e-01 4.826087e+00 -6.486776e+01 -6.648051e-05 -6.486678e+01 -5.964386e-05
1.449275e-01 4.971014e+00 -6.521367e+01 -1.192827e-04 -6.521286e+01 -1.179528e-04
1.449275e-01 5.115942e+00 -6.554700e+01 -7.969111e-05 -6.554636e+01 -8.434245e-05
1.449275e-01 5.260870e+00 -6.586863e+01 1.815309e-05 -6.586813e+01 1.150236e-05
1.449275e-01 5.405797e+00 -6.617931e+01 9.786205e-05 -6.617895e+01 9.431452e-05
1.449275e-01 5.550725e+00 -6.647977e+01 1.001530e-04 -6.647954e+01 1.020706e-04
1.449275e-01 5.695652e+00 -6.677064e+01 2.668934e-05 -6.677053e+01 3.218702e-05
1.449275e-01 5.840580e+00 -6.705250e+01 -6.382644e-05 -6.705249e+01 -5.912789e-05
