x_by_lambda_0 z_by_lambda_0 rel_err_db rel_time
1.168951816499e-01 1.941491945744e+00 -3.001130232963e+02 2.079389564e+00
1.168951816499e-01 2.269510536695e+00 -2.952663025407e+02 1.967924804e+00
1.168951816499e-01 2.652948464432e+00 -2.926304147734e+02 1.930148497e+00
1.168951816499e-01 3.101168926575e+00 -2.873591377767e+02 1.952725592e+00
1.168951816499e-01 3.625117049989e+00 -2.948463162562e+02 2.609076851e+00
1.168951816499e-01 4.237587160604e+00 -2.956388111872e+02 2.612599163e+00
1.168951816499e-01 4.953535208959e+00 -2.900296437339e+02 2.669762738e+00
1.168951816499e-01 5.790443980602e+00 -2.874445794440e+02 2.660926889e+00
1.168951816499e-01 6.768750009459e+00 -2.916481568868e+02 2.682572487e+00
1.168951816499e-01 7.912342618981e+00 -2.915854307524e+02 2.688571941e+00
1.168951816499e-01 9.249147277217e+00 -3.158346772383e+02 2.609637069e+00
1.168951816499e-01 1.081180751077e+01 -2.780732175055e+02 2.624800975e+00
1.168951816499e-01 1.263848202934e+01 -2.825940512058e+02 3.255813620e+00
1.168951816499e-01 1.477377652599e+01 -2.900822308751e+02 4.023715378e+00
1.168951816499e-01 1.726983290659e+01 -2.818610023226e+02 3.956941194e+00
1.168951816499e-01 2.018760254679e+01 -2.913090537155e+02 4.030172628e+00
1.168951816499e-01 2.359833466782e+01 -2.748092631748e+02 3.985922001e+00
1.168951816499e-01 2.758531617629e+01 -2.715725010350e+02 3.984753845e+00
1.168951816499e-01 3.224590545296e+01 -2.779246397085e+02 4.627856181e+00
1.168951816499e-01 3.769390975388e+01 -2.803955564996e+02 5.018811919e+00
1.168951816499e-01 4.406236427774e+01 -2.735647243197e+02 4.705111563e+00
1.168951816499e-01 5.150678076168e+01 -2.732923236047e+02 4.693175117e+00
1.168951816499e-01 6.020894493336e+01 -2.720233938707e+02 4.721101441e+00
1.168951816499e-01 7.038135554932e+01 -2.714174738558e+02 4.679397401e+00
1.168951816499e-01 8.227241341700e+01 -2.625978639913e+02 4.716273635e+00
1.168951816499e-01 9.617248711153e+01 -2.637309908989e+02 5.375906669e+00
1.168951816499e-01 1.124210035062e+02 -2.578847564743e+02 6.074869024e+00
1.168951816499e-01 1.314147362612e+02 -2.602790671928e+02 6.031338455e+00
1.168951816499e-01 1.536174946672e+02 -2.619022360776e+02 6.044504354e+00
1.168951816499e-01 1.795714494372e+02 -2.549637362498e+02 5.992845970e+00
1.168951816499e-01 2.099103720109e+02 -2.522263471390e+02 6.641827878e+00
1.168951816499e-01 2.453751106640e+02 -2.561006247672e+02 7.304990208e+00
1.168951816499e-01 2.868316813342e+02 -2.648919882670e+02 7.978141411e+00
1.168951816499e-01 3.352924149250e+02 -2.498407461035e+02 8.156256595e+00
1.168951816499e-01 3.919406774847e+02 -2.491022387671e+02 7.983305969e+00
1.168951816499e-01 4.581597669054e+02 -2.338225066514e+02 7.310778610e+00
1.168951816499e-01 5.355666917707e+02 -2.575919174559e+02 7.398289395e+00
1.168951816499e-01 6.260516572015e+02 -2.581552876308e+02 7.317553601e+00
1.168951816499e-01 7.318242219076e+02 -2.432708346691e+02 8.776028799e+00
1.168951816499e-01 8.554672535566e+02 -2.442648324527e+02 9.873459400e+00
1.168951816499e-01 1.000000000000e+03 -2.381563564839e+02 9.913484339e+00

1.366448349295e-01 1.000000000000e-01 -3.035958972936e+02 1.267968488e+00
1.366448349295e-01 1.168951816499e-01 -2.817523546556e+02 1.135712036e+00
1.366448349295e-01 1.366448349295e-01 -3.053708448825e+02 1.134609446e+00
1.366448349295e-01 1.597312280060e-01 -3.100161945613e+02 1.150458494e+00
1.366448349295e-01 1.867181091292e-01 -3.107962936438e+02 1.134840672e+00
1.366448349295e-01 2.182644728397e-01 -3.228771409624e+02 1.004411523e+00
1.366448349295e-01 2.551406520031e-01 -3.128312987103e+02 1.000000000e+00
1.366448349295e-01 2.982471286217e-01 -3.077636518680e+02 1.000872528e+00
1.366448349295e-01 3.486365227678e-01 -3.096249332836e+02 1.775316500e+00
1.366448349295e-01 4.075392965872e-01 -3.079154023896e+02 1.643072074e+00
1.366448349295e-01 4.763938010401e-01 -3.086809647057e+02 1.682900703e+00
1.366448349295e-01 5.568813990945e-01 -3.079650401949e+02 1.647866128e+00
1.366448349295e-01 6.509675230458e-01 -3.136654582666e+02 1.705432020e+00
1.366448349295e-01 7.609496685460e-01 -3.144878978528e+02 1.674356215e+00
1.366448349295e-01 8.895134973108e-01 -3.110395625619e+02 1.557678013e+00
1.366448349295e-01 1.039798418481e+00 -3.046590646248e+02 1.496486223e+00
1.366448349295e-01 1.215474250076e+00 -3.057916694361e+02 2.177577080e+00
1.366448349295e-01 1.420830832534e+00 -3.019646463834e+02 2.160448919e+00
1.366448349295e-01 1.660882782628e+00 -2.654330274905e+02 2.036162770e+00
1.366448349295e-01 1.941491945744e+00 -2.987767124209e+02 2.048636156e+00
1.366448349295e-01 2.269510536695e+00 -3.000822494421e+02 2.065251431e+00
1.366448349295e-01 2.652948464432e+00 -2.893015206904e+02 1.972675406e+00
1.366448349295e-01 3.101168926575e+00 -2.896403971312e+02 1.966683323e+00
1.366448349295e-01 3.625117049989e+00 -2.866460154539e+02 1.949573396e+00
1.366448349295e-01 4.237587160604e+00 -2.909137720459e+02 2.596475437e+00
1.366448349295e-01 4.953535208959e+00 -3.050155331758e+02 2.596351677e+00
1.366448349295e-01 5.790443980602e+00 -2.906707938209e+02 2.594485189e+00
1.366448349295e-01 6.768750009459e+00 -2.866339206581e+02 2.602046580e+00
1.366448349295e-01 7.912342618981e+00 -2.822439053832e+02 2.694201666e+00
1.366448349295e-01 9.249147277217e+00 -2.861735439572e+02 2.655536537e+00
1.366448349295e-01 1.081180751077e+01 -2.854142453201e+02 2.636870104e+00
1.366448349295e-01 1.263848202934e+01 -2.945376228886e+02 2.619120815e+00
1.366448349295e-01 1.477377652599e+01 -2.840454007874e+02 2.609894288e+00
1.366448349295e-01 1.726983290659e+01 -2.800995214917e+02 3.928964823e+00
1.366448349295e-01 2.018760254679e+01 -2.787665060406e+02 4.047123102e+00
1.366448349295e-01 2.359833466782e+01 -2.739388845562e+02 3.939047195e+00
1.366448349295e-01 2.758531617629e+01 -2.728109411130e+02 4.001023445e+00
1.366448349295e-01 3.224590545296e+01 -2.748619303303e+02 4.019176604e+00
1.366448349295e-01 3.769390975388e+01 -2.758815264022e+02 3.945260416e+00
1.366448349295e-01 4.406236427774e+01 -2.656824497000e+02 4.907193525e+00
1.366448349295e-01 5.150678076168e+01 -2.657743467182e+02 4.724421237e+00
1.366448349295e-01 6.020894493336e+01 -2.671287266644e+02 4.736635076e+00
1.366448349295e-01 7.038135554932e+01 -2.683080110906e+02 4.731113980e+00
1.366448349295e-01 8.227241341700e+01 -2.711048179652e+02 4.697763551e+00
1.366448349295e-01 9.617248711153e+01 -2.597703715301e+02 4.851270655e+00
1.366448349295e-01 1.124210035062e+02 -2.784448002296e+02 4.717548092e+00
1.366448349295e-01 1.314147362612e+02 -2.561805981679e+02 5.361879881e+00
1.366448349295e-01 1.536174946672e+02 -2.688005347698e+02 6.069319219e+00
1.366448349295e-01 1.795714494372e+02 -2.612856508868e+02 6.024600709e+00
1.366448349295e-01 2.099103720109e+02 -2.558165134101e+02 6.021993600e+00
1.366448349295e-01 2.453751106640e+02 -2.528255819581e+02 5.956650610e+00
1.366448349295e-01 2.868316813342e+02 -2.603657330924e+02 6.658693388e+00
1.366448349295e-01 3.352924149250e+02 -2.543826764860e+02 7.358780447e+00
1.366448349295e-01 3.919406774847e+02 -2.596902613840e+02 8.066435493e+00
1.366448349295e-01 4.581597669054e+02 -2.511354814566e+02 8.023202104e+00
1.366448349295e-01 5.355666917707e+02 -2.472934153732e+02 7.999303219e+00
1.366448349295e-01 6.260516572015e+02 -2.376145165572e+02 7.322363173e+00
1.366448349295e-01 7.318242219076e+02 -2.535509604418e+02 7.351756384e+00
1.366448349295e-01 8.554672535566e+02 -2.471834840916e+02 7.372302884e+00
1.366448349295e-01 1.000000000000e+03 -2.389775779348e+02 8.636086807e+00

1.597312280060e-01 1.000000000000e-01 -2.789398603779e+02 1.286648888e+00
1.597312280060e-01 1.168951816499e-01 -3.004938496003e+02 1.268674968e+00
1.597312280060e-01 1.366448349295e-01 -2.780522169531e+02 1.136178367e+00
1.597312280060e-01 1.597312280060e-01 -3.037516232919e+02 1.135686042e+00
1.597312280060e-01 1.867181091292e-01 -3.110929834241e+02 1.152468916e+00
1.597312280060e-01 2.182644728397e-01 -3.249494361292e+02 1.149181709e+00
1.597312280060e-01 2.551406520031e-01 -3.135624085855e+02 1.007140064e+00
1.597312280060e-01 2.982471286217e-01 -3.093668328538e+02 1.026895508e+00
1.597312280060e-01 3.486365227678e-01 -inf 1.002921358e+00
1.597312280060e-01 4.075392965872e-01 -3.152587011236e+02 1.777828170e+00
1.597312280060e-01 4.763938010401e-01 -3.133174854590e+02 1.628542487e+00
1.597312280060e-01 5.568813990945e-01 -3.058343891223e+02 1.626453308e+00
1.597312280060e-01 6.509675230458e-01 -3.020151831139e+02 1.674865610e+00
1.597312280060e-01 7.609496685460e-01 -3.062889261499e+02 1.682442519e+00
1.597312280060e-01 8.895134973108e-01 -3.179927266231e+02 1.651424909e+00
1.597312280060e-01 1.039798418481e+00 -3.038715318350e+02 1.514940828e+00
1.597312280060e-01 1.215474250076e+00 -3.016221185724e+02 1.500485341e+00
1.597312280060e-01 1.420830832534e+00 -2.961150549500e+02 1.517014100e+00
1.597312280060e-01 1.660882782628e+00 -3.061347204490e+02 2.164340184e+00
1.597312280060e-01 1.941491945744e+00 -2.591402247687e+02 2.087626786e+00
1.597312280060e-01 2.269510536695e+00 -3.001377356856e+02 2.024628642e+00
1.597312280060e-01 2.652948464432e+00 -2.923394283718e+02 2.110254705e+00
1.597312280060e-01 3.101168926575e+00 -2.929179292659e+02 2.094936778e+00
1.597312280060e-01 3.625117049989e+00 -2.972780860725e+02 1.948015726e+00
1.597312280060e-01 4.237587160604e+00 -2.900506464584e+02 1.935444186e+00
1.597312280060e-01 4.953535208959e+00 -2.881318104555e+02 1.926315038e+00
1.597312280060e-01 5.790443980602e+00 -3.108869682353e+02 2.594912336e+00
1.597312280060e-01 6.768750009459e+00 -2.912063336475e+02 2.595474106e+00
1.597312280060e-01 7.912342618981e+00 -3.051663378175e+02 2.594492172e+00
1.597312280060e-01 9.249147277217e+00 -2.877442368674e+02 2.709843154e+00
1.597312280060e-01 1.081180751077e+01 -2.785824399330e+02 2.657562477e+00
1.597312280060e-01 1.263848202934e+01 -2.822772186387e+02 2.598478100e+00
1.597312280060e-01 1.477377652599e+01 -2.994805815371e+02 2.622587261e+00
1.597312280060e-01 1.726983290659e+01 -2.770099781210e+02 2.599184192e+00
1.597312280060e-01 2.018760254679e+01 -2.730816416175e+02 2.599793681e+00
1.597312280060e-01 2.359833466782e+01 -2.809850691766e+02 4.041193094e+00
1.597312280060e-01 2.758531617629e+01 -2.707558198290e+02 4.079346112e+00
1.597312280060e-01 3.224590545296e+01 -2.825701926243e+02 3.923245478e+00
1.597312280060e-01 3.769390975388e+01 -2.793166475344e+02 3.921080647e+00
1.597312280060e-01 4.406236427774e+01 -2.641588088717e+02 3.952341122e+00
1.597312280060e-01 5.150678076168e+01 -2.701445065916e+02 4.103669428e+00
1.597312280060e-01 6.020894493336e+01 -2.717071934918e+02 4.699436446e+00
1.597312280060e-01 7.038135554932e+01 -2.886164750666e+02 4.718320913e+00
1.597312280060e-01 8.227241341700e+01 -2.676995831851e+02 4.717489122e+00
1.597312280060e-01 9.617248711153e+01 -2.678655800900e+02 4.790056751e+00
1.597312280060e-01 1.124210035062e+02 -2.763104399107e+02 4.745116327e+00
1.597312280060e-01 1.314147362612e+02 -2.657047549657e+02 4.679010602e+00
1.597312280060e-01 1.536174946672e+02 -2.654900248327e+02 4.673553132e+00
1.597312280060e-01 1.795714494372e+02 -2.565817841515e+02 5.369688404e+00
1.597312280060e-01 2.099103720109e+02 -2.545607868032e+02 6.010427659e+00
1.597312280060e-01 2.453751106640e+02 -2.491813877703e+02 6.046571419e+00
1.597312280060e-01 2.868316813342e+02 -2.612807132127e+02 6.059856423e+00
1.597312280060e-01 3.352924149250e+02 -2.525867150588e+02 6.038658146e+00
1.597312280060e-01 3.919406774847e+02 -2.473333780073e+02 6.700178230e+00
1.597312280060e-01 4.581597669054e+02 -2.653924387322e+02 7.295698503e+00
1.597312280060e-01 5.355666917707e+02 -2.490707908567e+02 7.995659862e+00
1.597312280060e-01 6.260516572015e+02 -2.495310640815e+02 8.028363946e+00
1.597312280060e-01 7.318242219076e+02 -2.507484512862e+02 8.136105042e+00
1.597312280060e-01 8.554672535566e+02 -2.371605128647e+02 7.291428199e+00
1.597312280060e-01 1.000000000000e+03 -2.570705632456e+02 7.301341032e+00

1.867181091292e-01 1.000000000000e-01 -2.564364069084e+02 1.286968569e+00
1.867181091292e-01 1.168951816499e-01 -2.745311740060e+02 1.285738727e+00
1.867181091292e-01 1.366448349295e-01 -2.951245590441e+02 1.290164217e+00
1.867181091292e-01 1.597312280060e-01 -3.111913966412e+02 1.287378645e+00
1.867181091292e-01 1.867181091292e-01 -3.004432081687e+02 1.135676731e+00
1.867181091292e-01 2.182644728397e-01 -3.096238209197e+02 1.136080600e+00
1.867181091292e-01 2.551406520031e-01 -3.087902399799e+02 1.156661628e+00
1.867181091292e-01 2.982471286217e-01 -3.131755765122e+02 1.000303387e+00
1.867181091292e-01 3.486365227678e-01 -3.080109006504e+02 1.005125374e+00
1.867181091292e-01 4.075392965872e-01 -3.047884980740e+02 1.004535283e+00
1.867181091292e-01 4.763938010401e-01 -3.229336687901e+02 1.784138382e+00
1.867181091292e-01 5.568813990945e-01 -3.147459630772e+02 1.646422519e+00
1.867181091292e-01 6.509675230458e-01 -3.048170395915e+02 1.693779563e+00
1.867181091292e-01 7.609496685460e-01 -3.192325758749e+02 1.687171008e+00
1.867181091292e-01 8.895134973108e-01 -2.984861467625e+02 1.670306273e+00
1.867181091292e-01 1.039798418481e+00 -3.027896769904e+02 1.514215726e+00
1.867181091292e-01 1.215474250076e+00 -3.009937190616e+02 1.549244094e+00
1.867181091292e-01 1.420830832534e+00 -2.995852139764e+02 1.513103825e+00
1.867181091292e-01 1.660882782628e+00 -2.973615124006e+02 1.514614939e+00
1.867181091292e-01 1.941491945744e+00 -3.025242595068e+02 2.176266931e+00
1.867181091292e-01 2.269510536695e+00 -2.503468606424e+02 2.031015283e+00
1.867181091292e-01 2.652948464432e+00 -2.892947384104e+02 2.043168211e+00
1.867181091292e-01 3.101168926575e+00 -2.971601468150e+02 2.078401423e+00
1.867181091292e-01 3.625117049989e+00 -2.935320642645e+02 2.104951256e+00
1.867181091292e-01 4.237587160604e+00 -2.972572529689e+02 1.944020100e+00
1.867181091292e-01 4.953535208959e+00 -2.950800042977e+02 1.928072509e+00
1.867181091292e-01 5.790443980602e+00 -2.969009329223e+02 1.929413307e+00
1.867181091292e-01 6.768750009459e+00 -2.932856368931e+02 1.929092850e+00
1.867181091292e-01 7.912342618981e+00 -2.915691130385e+02 2.585662919e+00
1.867181091292e-01 9.249147277217e+00 -2.915402146226e+02 2.626622460e+00
1.867181091292e-01 1.081180751077e+01 -2.785610718263e+02 2.674055932e+00
1.867181091292e-01 1.263848202934e+01 -2.944924864966e+02 2.630170766e+00
1.867181091292e-01 1.477377652599e+01 -2.817442920742e+02 2.629018517e+00
1.867181091292e-01 1.726983290659e+01 -2.815948089233e+02 2.640082434e+00
1.867181091292e-01 2.018760254679e+01 -2.794874050457e+02 2.652588797e+00
1.867181091292e-01 2.359833466782e+01 -2.758415977235e+02 2.592880576e+00
1.867181091292e-01 2.758531617629e+01 -2.857334813203e+02 2.662188544e+00
1.867181091292e-01 3.224590545296e+01 -2.706931174521e+02 3.975775227e+00
1.867181091292e-01 3.769390975388e+01 -2.798038106623e+02 3.986404238e+00
1.867181091292e-01 4.406236427774e+01 -2.721363837332e+02 3.983975592e+00
1.867181091292e-01 5.150678076168e+01 -2.709485945179e+02 4.010630563e+00
1.867181091292e-01 6.020894493336e+01 -2.618607497928e+02 3.968552527e+00
1.867181091292e-01 7.038135554932e+01 -2.705815163669e+02 4.097181529e+00
1.867181091292e-01 8.227241341700e+01 -2.654114183425e+02 4.717087192e+00
1.867181091292e-01 9.617248711153e+01 -2.754627716209e+02 4.727248321e+00
1.867181091292e-01 1.124210035062e+02 -2.680710464875e+02 3.990768430e+00
1.867181091292e-01 1.314147362612e+02 -2.635326469109e+02 4.728632571e+00
1.867181091292e-01 1.536174946672e+02 -2.634044689369e+02 4.734736775e+00
1.867181091292e-01 1.795714494372e+02 -2.542378757773e+02 4.696312959e+00
1.867181091292e-01 2.099103720109e+02 -2.657493947618e+02 4.689521673e+00
1.867181091292e-01 2.453751106640e+02 -2.649775957581e+02 5.366462107e+00
1.867181091292e-01 2.868316813342e+02 -2.661172195441e+02 6.056288719e+00
1.867181091292e-01 3.352924149250e+02 -2.614548991222e+02 6.044307657e+00
1.867181091292e-01 3.919406774847e+02 -2.516319848004e+02 6.031617013e+00
1.867181091292e-01 4.581597669054e+02 -2.728301656416e+02 5.973353176e+00
1.867181091292e-01 5.355666917707e+02 -2.448970109735e+02 6.660582766e+00
1.867181091292e-01 6.260516572015e+02 -2.465469076670e+02 7.331853515e+00
1.867181091292e-01 7.318242219076e+02 -2.484770662162e+02 8.158807450e+00
1.867181091292e-01 8.554672535566e+02 -2.464417104380e+02 7.998138167e+00
1.867181091292e-01 1.000000000000e+03 -2.417089389738e+02 8.007271583e+00

2.182644728397e-01 1.000000000000e-01 -2.742183342107e+02 1.433992430e+00
2.182644728397e-01 1.168951816499e-01 -2.946818080555e+02 1.425967424e+00
2.182644728397e-01 1.366448349295e-01 -2.699957582757e+02 1.275579151e+00
2.182644728397e-01 1.597312280060e-01 -2.961559282836e+02 1.275797186e+00
2.182644728397e-01 1.867181091292e-01 -2.981081397078e+02 1.275726964e+00
2.182644728397e-01 2.182644728397e-01 -inf 1.158626659e+00
2.182644728397e-01 2.551406520031e-01 -2.973090193208e+02 1.142318263e+00
2.182644728397e-01 2.982471286217e-01 -2.974343077765e+02 1.141006173e+00
2.182644728397e-01 3.486365227678e-01 -2.940671817114e+02 1.016447675e+00
2.182644728397e-01 4.075392965872e-01 -2.942713705829e+02 1.028146299e+00
2.182644728397e-01 4.763938010401e-01 -2.958425569078e+02 1.021543952e+00
2.182644728397e-01 5.568813990945e-01 -2.955139229356e+02 1.778467920e+00
2.182644728397e-01 6.509675230458e-01 -2.934955326971e+02 1.671052325e+00
2.182644728397e-01 7.609496685460e-01 -2.940242910190e+02 1.702654595e+00
2.182644728397e-01 8.895134973108e-01 -2.939805535110e+02 1.692131110e+00
2.182644728397e-01 1.039798418481e+00 -2.973835192780e+02 1.710473594e+00
2.182644728397e-01 1.215474250076e+00 -2.978523226416e+02 1.519528874e+00
2.182644728397e-01 1.420830832534e+00 -3.017702070823e+02 1.544281664e+00
2.182644728397e-01 1.660882782628e+00 -3.051797676013e+02 1.542490053e+00
2.182644728397e-01 1.941491945744e+00 -3.023252389803e+02 1.504274960e+00
2.182644728397e-01 2.269510536695e+00 -3.050942202063e+02 2.182333890e+00
2.182644728397e-01 2.652948464432e+00 -3.076406354916e+02 2.202402808e+00
2.182644728397e-01 3.101168926575e+00 -2.745348141357e+02 2.066699695e+00
2.182644728397e-01 3.625117049989e+00 -2.919976908738e+02 2.102368201e+00
2.182644728397e-01 4.237587160604e+00 -2.881757880639e+02 2.059764864e+00
2.182644728397e-01 4.953535208959e+00 -2.987159551454e+02 1.938704624e+00
2.182644728397e-01 5.790443980602e+00 -2.870729547235e+02 1.934049073e+00
2.182644728397e-01 6.768750009459e+00 -2.918768667996e+02 1.953166318e+00
2.182644728397e-01 7.912342618981e+00 -2.932396520286e+02 1.936901762e+00
2.182644728397e-01 9.249147277217e+00 -2.979443128273e+02 1.932324967e+00
2.182644728397e-01 1.081180751077e+01 -2.828372969903e+02 2.670327611e+00
2.182644728397e-01 1.263848202934e+01 -2.918529926729e+02 2.666673003e+00
2.182644728397e-01 1.477377652599e+01 -2.793987991074e+02 2.601727675e+00
2.182644728397e-01 1.726983290659e+01 -2.919893776381e+02 2.654444034e+00
2.182644728397e-01 2.018760254679e+01 -2.735923078005e+02 2.664700214e+00
2.182644728397e-01 2.359833466782e+01 -2.767635371111e+02 2.636615212e+00
2.182644728397e-01 2.758531617629e+01 -2.764368019355e+02 2.676808526e+00
2.182644728397e-01 3.224590545296e+01 -2.732967527517e+02 2.685394139e+00
2.182644728397e-01 3.769390975388e+01 -2.726918280803e+02 2.628772548e+00
2.182644728397e-01 4.406236427774e+01 -2.653972512907e+02 3.957658537e+00
2.182644728397e-01 5.150678076168e+01 -2.702190465919e+02 4.050870045e+00
2.182644728397e-01 6.020894493336e+01 -2.762140175629e+02 3.943263960e+00
2.182644728397e-01 7.038135554932e+01 -2.642899073865e+02 3.954521471e+00
2.182644728397e-01 8.227241341700e+01 -2.598934913746e+02 4.108098021e+00
2.182644728397e-01 9.617248711153e+01 -2.734416875187e+02 4.077422982e+00
2.182644728397e-01 1.124210035062e+02 -2.773138996930e+02 4.702251890e+00
2.182644728397e-01 1.314147362612e+02 -2.668052515823e+02 4.744117323e+00
2.182644728397e-01 1.536174946672e+02 -2.627280933638e+02 3.989487377e+00
