x_by_lambda_0 z_by_lambda_0 g1_1 g1_2 g1_3 g2_1 g2_2 g2_3
-5.000000e+00 2.796610e+00 -2.406633e-03 -1.247443e-02 -1.390123e-01 1.475687e-03 8.244289e-04 3.735595e-04
-5.000000e+00 2.966102e+00 7.420129e-03 2.305467e-02 3.173840e-02 -3.746915e-03 -6.947448e-04 4.778768e-05
-5.000000e+00 3.135593e+00 1.541718e-02 5.656106e-02 2.440885e-01 -7.806117e-03 -1.841126e-03 -2.155072e-04
-5.000000e+00 3.305085e+00 1.876518e-02 7.521538e-02 4.203371e-01 -9.376256e-03 -2.304821e-03 -3.548364e-04
-5.000000e+00 3.474576e+00 1.581589e-02 6.857056e-02 4.666176e-01 -7.810282e-03 -1.977967e-03 -3.498712e-04
-5.000000e+00 3.644068e+00 7.071847e-03 3.433699e-02 3.174447e-01 -3.529258e-03 -1.012524e-03 -2.264309e-04
-5.000000e+00 3.813559e+00 -4.536414e-03 -1.784744e-02 -1.444989e-02 1.954902e-03 2.129369e-04 -4.636652e-05
-5.000000e+00 3.983051e+00 -1.445221e-02 -6.764037e-02 -4.129128e-01 6.501938e-03 1.222293e-03 1.154855e-04
-5.000000e+00 4.152542e+00 -1.829230e-02 -9.146022e-02 -6.865926e-01 8.194312e-03 1.627716e-03 1.994600e-04
-5.000000e+00 4.322034e+00 -1.397614e-02 -7.408747e-02 -6.563541e-01 6.243921e-03 1.297097e-03 1.833175e-04
-5.000000e+00 4.491525e+00 -3.118334e-03 -1.888753e-02 -2.685202e-01 1.498573e-03 4.214857e-04 8.894093e-05
-5.000000e+00 4.661017e+00 9.266551e-03 4.997472e-02 3.325809e-01 -3.803180e-03 -5.635609e-04 -3.004594e-05
-5.000000e+00 4.830508e+00 1.696069e-02 9.704696e-02 8.378102e-01 -7.039168e-03 -1.180801e-03 -1.146178e-04
-5.000000e+00 5.000000e+00 1.576941e-02 9.409237e-02 9.264024e-01 -6.546779e-03 -1.147043e-03 -1.284386e-04

-4.830508e+00 -5.000000e+00 6.931683e-03 1.094671e-03 9.922359e-05 6.931683e-03 1.094671e-03 9.922359e-05
-4.830508e+00 -4.830508e+00 3.572226e-03 4.928848e-04 2.381270e-05 3.572226e-03 4.928848e-04 2.381270e-05
-4.830508e+00 -4.661017e+00 -1.879660e-03 -4.541313e-04 -8.072804e-05 -1.879660e-03 -4.541313e-04 -8.072804e-05
-4.830508e+00 -4.491525e+00 -6.533000e-03 -1.250882e-03 -1.581256e-04 -6.533000e-03 -1.250882e-03 -1.581256e-04
-4.830508e+00 -4.322034e+00 -8.009535e-03 -1.465779e-03 -1.602382e-04 -8.009535e-03 -1.465779e-03 -1.602382e-04
-4.830508e+00 -4.152542e+00 -5.599640e-03 -9.491938e-04 -7.299665e-05 -5.599640e-03 -9.491938e-04 -7.299665e-05
-4.830508e+00 -3.983051e+00 -4.698114e-04 9.816417e-05 7.380832e-05 -4.698114e-04 9.816417e-05 7.380832e-05
-4.830508e+00 -3.813559e+00 5.044836e-03 1.226206e-03 2.174574e-04 5.044836e-03 1.226206e-03 2.174574e-04
-4.830508e+00 -3.644068e+00 8.588733e-03 1.942051e-03 2.885213e-04 8.588733e-03 1.942051e-03 2.885213e-04
-4.830508e+00 -3.474576e+00 8.780336e-03 1.918735e-03 2.404130e-04 8.780336e-03 1.918735e-03 2.404130e-04
-4.830508e+00 -3.305085e+00 5.646493e-03 1.117143e-03 6.982819e-05 5.646493e-03 1.117143e-03 6.982819e-05
-4.830508e+00 -3.135593e+00 4.226736e-04 -2.163337e-04 -1.794869e-04 4.226736e-04 -2.163337e-04 -1.794869e-04
-4.830508e+00 -2.966102e+00 -5.069455e-03 -1.656622e-03 -4.298823e-04 -5.069455e-03 -1.656622e-03 -4.298823e-04
-4.830508e+00 -2.796610e+00 -9.133785e-03 -2.754447e-03 -5.937973e-04 -9.133785e-03 -2.754447e-03 -5.937973e-04
-4.830508e+00 -2.627119e+00 -1.071723e-02 -3.175584e-03 -5.995443e-04 -1.071723e-02 -3.175584e-03 -5.995443e-04
-4.830508e+00 -2.457627e+00 -9.599112e-03 -2.781397e-03 -4.106412e-04 -9.599112e-03 -2.781397e-03 -4.106412e-04
-4.830508e+00 -2.288136e+00 -6.276131e-03 -1.637672e-03 -3.393410e-05 -6.276131e-03 -1.637672e-03 -3.393410e-05
-4.830508e+00 -2.118644e+00 -1.665817e-03 3.444025e-05 4.839307e-04 -1.665817e-03 3.444025e-05 4.839307e-04
-4.830508e+00 -1.949153e+00 3.225960e-03 1.937071e-03 1.068662e-03 3.225960e-03 1.937071e-03 1.068662e-03
-4.830508e+00 -1.779661e+00 7.564260e-03 3.774685e-03 1.634370e-03 7.564260e-03 3.774685e-03 1.634370e-03
-4.830508e+00 -1.610169e+00 1.082210e-02 5.313027e-03 2.098901e-03 1.082210e-02 5.313027e-03 2.098901e-03
-4.830508e+00 -1.440678e+00 1.280028e-02 6.409480e-03 2.395213e-03 1.280028e-02 6.409480e-03 2.395213e-03
-4.830508e+00 -1.271186e+00 1.356692e-02 7.016801e-03 2.477492e-03 1.356692e-02 7.016801e-03 2.477492e-03
-4.830508e+00 -1.101695e+00 1.336146e-02 7.168480e-03 2.322444e-03 1.336146e-02 7.168480e-03 2.322444e-03
-4.830508e+00 -9.322034e-01 1.249973e-02 6.955696e-03 1.927507e-03 1.249973e-02 6.955696e-03 1.927507e-03
-4.830508e+00 -7.627119e-01 1.130124e-02 6.504431e-03 1.308500e-03 1.130124e-02 6.504431e-03 1.308500e-03
-4.830508e+00 -5.932203e-01 1.004544e-02 5.958298e-03 4.996858e-04 1.004544e-02 5.958298e-03 4.996858e-04
-4.830508e+00 -4.237288e-01 8.953725e-03 5.469372e-03 -4.404375e-04 8.953725e-03 5.469372e-03 -4.404375e-04
-4.830508e+00 -2.542373e-01 8.189068e-03 5.196651e-03 -1.413866e-03 8.189068e-03 5.196651e-03 -1.413866e-03
-4.830508e+00 -8.474576e-02 7.864127e-03 5.309559e-03 -2.254439e-03 7.864127e-03 5.309559e-03 -2.254439e-03
-4.830508e+00 8.474576e-02 8.050034e-03 5.992141e-03 -2.682732e-03 -7.864127e-03 -5.309559e-03 2.254439e-03
-4.830508e+00 2.542373e-01 8.780006e-03 7.441625e-03 -2.245189e-03 -8.189068e-03 -5.196651e-03 1.413866e-03
-4.830508e+00 4.237288e-01 1.004421e-02 9.853047e-03 -2.476489e-04 -8.953725e-03 -5.469372e-03 4.404375e-04
-4.830508e+00 5.932203e-01 1.177468e-02 1.338005e-02 4.288136e-03 -1.004544e-02 -5.958298e-03 -4.996858e-04
-4.830508e+00 7.627119e-01 1.382203e-02 1.806266e-02 1.258767e-02 -1.130124e-02 -6.504431e-03 -1.308500e-03
-4.830508e+00 9.322034e-01 1.592980e-02 2.371846e-02 2.591571e-02 -1.249973e-02 -6.955696e-03 -1.927507e-03
-4.830508e+00 1.101695e+00 1.771745e-02 2.980807e-02 4.508704e-02 -1.336146e-02 -7.168480e-03 -2.322444e-03
-4.830508e+00 1.271186e+00 1.868801e-02 3.531039e-02 6.961875e-02 -1.356692e-02 -7.016801e-03 -2.477492e-03
-4.830508e+00 1.440678e+00 1.827956e-02 3.867603e-02 9.658398e-02 -1.280028e-02 -6.409480e-03 -2.395213e-03
-4.830508e+00 1.610169e+00 1.597550e-02 3.795570e-02 1.195045e-01 -1.082210e-02 -5.313027e-03 -2.098901e-03
-4.830508e+00 1.779661e+00 1.147466e-02 3.120167e-02 1.280048e-01 -7.564260e-03 -3.774685e-03 -1.634370e-03
-4.830508e+00 1.949153e+00 4.894839e-03 1.718300e-02 1.092637e-01 -3.225960e-03 -1.937071e-03 -1.068662e-03
-4.830508e+00 2.118644e+00 -3.052257e-03 -3.681799e-03 5.220179e-02 1.665817e-03 -3.444025e-05 -4.839307e-04
-4.830508e+00 2.288136e+00 -1.100767e-02 -2.847553e-02 -4.557688e-02 6.276131e-03 1.637672e-03 3.393410e-05
-4.830508e+00 2.457627e+00 -1.713144e-02 -5.151324e-02 -1.699668e-01 9.599112e-03 2.781397e-03 4.106412e-04
-4.830508e+00 2.627119e+00 -1.954139e-02 -6.519825e-02 -2.859018e-01 1.071723e-02 3.175584e-03 5.995443e-04
-4.830508e+00 2.796610e+00 -1.697361e-02 -6.228967e-02 -3.418510e-01 9.133785e-03 2.754447e-03 5.937973e-04
-4.830508e+00 2.966102e+00 -9.471851e-03 -3.923693e-02 -2.872032e-01 5.069455e-03 1.656622e-03 4.298823e-04
-4.830508e+00 3.135593e+00 1.205326e-03 6.150813e-04 -1.004537e-01 -4.226736e-04 2.163337e-04 1.794869e-04
-4.830508e+00 3.305085e+00 1.178052e-02 4.578962e-02 1.830214e-01 -5.646493e-03 -1.117143e-03 -6.982819e-05
-4.830508e+00 3.474576e+00 1.840787e-02 7.910009e-02 4.621907e-01 -8.780336e-03 -1.918735e-03 -2.404130e-04
-4.830508e+00 3.644068e+00 1.818861e-02 8.408361e-02 5.976048e-01 -8.588733e-03 -1.942051e-03 -2.885213e-04
-4.830508e+00 3.813559e+00 1.067477e-02 5.350321e-02 4.762388e-01 -5.044836e-03 -1.226206e-03 -2.174574e-04
-4.830508e+00 3.983051e+00 -1.429549e-03 -4.210115e-03 8.958091e-02 4.698114e-04 -9.816417e-05 -7.380832e-05
-4.830508e+00 4.152542e+00 -1.298581e-02 -6.519008e-02 -4.216942e-01 5.599640e-03 9.491938e-04 7.299665e-05
-4.830508e+00 4.322034e+00 -1.856032e-02 -9.927023e-02 -8.020094e-01 8.009535e-03 1.465779e-03 1.602382e-04
-4.830508e+00 4.491525e+00 -1.515705e-02 -8.536133e-02 -8.035001e-01 6.533000e-03 1.250882e-03 1.581256e-04
-4.830508e+00 4.661017e+00 -4.129558e-03 -2.542207e-02 -3.461612e-01 1.879660e-03 4.541313e-04 8.072804e-05
-4.830508e+00 4.830508e+00 9.015280e-03 5.218992e-02 3.831128e-01 -3.572226e-03 -4.928848e-04 -2.381270e-05
-4.830508e+00 5.000000e+00 1.722498e-02 1.049293e-01 9.833902e-01 -6.931683e-03 -1.094671e-03 -9.922359e-05

-4.661017e+00 -5.000000e+00 3.683890e-03 4.869045e-04 2.484674e-05 3.683890e-03 4.869045e-04 2.484674e-05
-4.661017e+00 -4.830508e+00 -1.851590e-03 -4.167818e-04 -6.750668e-05 -1.851590e-03 -4.167818e-04 -6.750668e-05
-4.661017e+00 -4.661017e+00 -6.547209e-03 -1.167804e-03 -1.347060e-04 -6.547209e-03 -1.167804e-03 -1.347060e-04
-4.661017e+00 -4.491525e+00 -7.816207e-03 -1.328794e-03 -1.321805e-04 -7.816207e-03 -1.328794e-03 -1.321805e-04
-4.661017e+00 -4.322034e+00 -4.979668e-03 -7.693607e-04 -4.982067e-05 -4.979668e-03 -7.693607e-04 -4.982067e-05
-4.661017e+00 -4.152542e+00 5.086826e-04 2.668503e-04 7.959397e-05 5.086826e-04 2.668503e-04 7.959397e-05
-4.661017e+00 -3.983051e+00 5.950826e-03 1.289122e-03 1.939893e-04 5.950826e-03 1.289122e-03 1.939893e-04
-4.661017e+00 -3.813559e+00 8.805218e-03 1.801107e-03 2.307159e-04 8.805218e-03 1.801107e-03 2.307159e-04
-4.661017e+00 -3.644068e+00 7.840359e-03 1.529961e-03 1.564302e-04 7.840359e-03 1.529961e-03 1.564302e-04
-4.661017e+00 -3.474576e+00 3.537915e-03 5.388106e-04 -1.555834e-05 3.537915e-03 5.388106e-04 -1.555834e-05
-4.661017e+00 -3.305085e+00 -2.307397e-03 -8.134169e-04 -2.276036e-04 -2.307397e-03 -8.134169e-04 -2.276036e-04
-4.661017e+00 -3.135593e+00 -7.467471e-03 -2.027909e-03 -3.978519e-04 -7.467471e-03 -2.027909e-03 -3.978519e-04
-4.661017e+00 -2.966102e+00 -1.017687e-02 -2.658152e-03 -4.492937e-04 -1.017687e-02 -2.658152e-03 -4.492937e-04
-4.661017e+00 -2.796610e+00 -9.683575e-03 -2.458969e-03 -3.364261e-04 -9.683575e-03 -2.458969e-03 -3.364261e-04
-4.661017e+00 -2.627119e+00 -6.323390e-03 -1.445682e-03 -6.058970e-05 -6.323390e-03 -1.445682e-03 -6.058970e-05
-4.661017e+00 -2.457627e+00 -1.208176e-03 1.397949e-04 3.296680e-04 -1.208176e-03 1.397949e-04 3.296680e-04
-4.661017e+00 -2.288136e+00 4.261535e-03 1.925280e-03 7.512583e-04 4.261535e-03 1.925280e-03 7.512583e-04
-4.661017e+00 -2.118644e+00 8.847451e-03 3.522740e-03 1.106516e-03 8.847451e-03 3.522740e-03 1.106516e-03
-4.661017e+00 -1.949153e+00 1.175435e-02 4.622271e-03 1.303649e-03 1.175435e-02 4.622271e-03 1.303649e-03
-4.661017e+00 -1.779661e+00 1.270765e-02 5.044230e-03 1.272132e-03 1.270765e-02 5.044230e-03 1.272132e-03
-4.661017e+00 -1.610169e+00 1.187128e-02 4.746949e-03 9.701001e-04 1.187128e-02 4.746949e-03 9.701001e-04
-4.661017e+00 -1.440678e+00 9.683258e-03 3.800947e-03 3.834830e-04 9.683258e-03 3.800947e-03 3.834830e-04
-4.661017e+00 -1.271186e+00 6.682492e-03 2.346274e-03 -4.814003e-04 6.682492e-03 2.346274e-03 -4.814003e-04
-4.661017e+00 -1.101695e+00 3.374399e-03 5.485205e-04 -1.609169e-03 3.374399e-03 5.485205e-04 -1.609169e-03
-4.661017e+00 -9.322034e-01 1.539136e-04 -1.435873e-03 -2.988030e-03 1.539136e-04 -1.435873e-03 -2.988030e-03
-4.661017e+00 -7.627119e-01 -2.718317e-03 -3.480090e-03 -4.621659e-03 -2.718317e-03 -3.480090e-03 -4.621659e-03
-4.661017e+00 -5.932203e-01 -5.102050e-03 -5.492765e-03 -6.538685e-03 -5.102050e-03 -5.492765e-03 -6.538685e-03
-4.661017e+00 -4.237288e-01 -6.943630e-03 -7.411251e-03 -8.797972e-03 -6.943630e-03 -7.411251e-03 -8.797972e-03
-4.661017e+00 -2.542373e-01 -8.236634e-03 -9.185016e-03 -1.148661e-02 -8.236634e-03 -9.185016e-03 -1.148661e-02
-4.661017e+00 -8.474576e-02 -8.986285e-03 -1.075154e-02 -1.470469e-02 -8.986285e-03 -1.075154e-02 -1.470469e-02
-4.661017e+00 8.474576e-02 -9.182570e-03 -1.200668e-02 -1.852656e-02 8.986285e-03 1.075154e-02 1.470469e-02
-4.661017e+00 2.542373e-01 -8.784541e-03 -1.277225e-02 -2.292323e-02 8.236634e-03 9.185016e-03 1.148661e-02
-4.661017e+00 4.237288e-01 -7.717609e-03 -1.276639e-02 -2.762830e-02 6.943630e-03 7.411251e-03 8.797972e-03
-4.661017e+00 5.932203e-01 -5.886183e-03 -1.158762e-02 -3.193676e-02 5.102050e-03 5.492765e-03 6.538685e-03
-4.661017e+00 7.627119e-01 -3.204423e-03 -8.731440e-03 -3.445302e-02 2.718317e-03 3.480090e-03 4.621659e-03
-4.661017e+00 9.322034e-01 3.532854e-04 -3.665068e-03 -3.286459e-02 -1.539136e-04 1.435873e-03 2.988030e-03
-4.661017e+00 1.101695e+00 4.684833e-03 4.012673e-03 -2.391246e-02 -3.374399e-03 -5.485205e-04 1.609169e-03
-4.661017e+00 1.271186e+00 9.487135e-03 1.431373e-02 -3.837187e-03 -6.682492e-03 -2.346274e-03 4.814003e-04
-4.661017e+00 1.440678e+00 1.420049e-02 2.653134e-02 3.037554e-02 -9.683258e-03 -3.800947e-03 -3.834830e-04
-4.661017e+00 1.610169e+00 1.800606e-02 3.893115e-02 7.877090e-02 -1.187128e-02 -4.746949e-03 -9.701001e-04
-4.661017e+00 1.779661e+00 1.991707e-02 4.863578e-02 1.355198e-01 -1.270765e-02 -5.044230e-03 -1.272132e-03
