x_by_lambda_0 z_by_lambda_0 G_EJ_xx G_HJ_xx G_EJ_xy G_HJ_xy G_EJ_xz G_HJ_xz G_EJ_yx G_HJ_yx G_EJ_yy G_HJ_yy G_EJ_yz G_HJ_yz G_EJ_zx G_HJ_zx G_EJ_zy G_HJ_zy G_EJ_zz G_HJ_zz 
-5 0.389831 0.00118516 -3.55734e-21 1.68088e-18 -2.32488e-05 0.00493917 -7.26447e-22 1.68088e-18 -5.79906e-06 0.0149106 3.55734e-21 -6.04874e-19 -5.93189e-06 -0.00171223 -4.52958e-21 2.09688e-19 -3.69869e-05 -0.00262059 0 
-5 0.559322 0.00173331 -3.56425e-21 2.21953e-18 -2.25312e-05 0.00372524 6.79787e-22 2.21953e-18 -6.57307e-06 0.0198572 3.56425e-21 -4.5621e-19 5.55088e-06 -0.00215109 -6.07742e-21 2.63432e-19 -4.96259e-05 0.00171736 0 
-5 0.728814 0.0023013 -3.21542e-21 2.27328e-18 -2.05956e-05 0.00265798 1.40135e-21 2.27328e-18 -5.66026e-06 0.020864 3.21542e-21 -3.25509e-19 1.14429e-05 -0.00201847 -6.40023e-21 2.47191e-19 -5.22619e-05 0.00404179 0 
-5 0.898305 0.00289 -2.45479e-21 1.80068e-18 -1.64175e-05 0.00167812 1.46819e-21 1.80068e-18 -3.62734e-06 0.0175936 2.45479e-21 -2.0551e-19 1.19887e-05 -0.00150439 -5.40578e-21 1.84235e-19 -4.41415e-05 0.00441015 0 
-5 1.0678 0.003425 -1.31104e-21 8.38727e-19 -9.42605e-06 0.000762926 9.6311e-22 8.38727e-19 -1.27942e-06 0.0102737 1.31104e-21 -9.34315e-20 7.86439e-06 -0.000874707 -3.17978e-21 1.07121e-19 -2.59649e-05 0.00303374 0 
-5 1.23729 0.00377158 7.86081e-23 -4.87191e-19 1.84034e-07 -9.118e-05 -9.5232e-24 -4.87191e-19 4.5785e-07 -0.000206634 -7.86081e-23 1.11663e-20 -7.77628e-08 -0.000426547 -6.34967e-24 5.2237e-20 -5.1849e-08 0.000189281 0 
-5 1.40678 0.0037764 1.4712e-21 -1.97081e-18 1.12902e-05 -0.0009088 -1.35382e-21 -1.97081e-18 7.23044e-07 -0.0123165 -1.4712e-21 1.11296e-19 -1.10548e-05 -0.000428089 3.64787e-21 5.24258e-20 2.97871e-05 -0.00385883 0 
-5 1.57627 0.00332706 2.55923e-21 -3.35696e-18 2.19543e-05 -0.00177665 -3.00104e-21 -3.35696e-18 -1.05657e-06 -0.0240846 -2.55923e-21 2.17577e-19 -2.45054e-05 -0.00105264 7.20148e-21 1.28912e-19 5.88045e-05 -0.00889862 0 
-5 1.74576 0.00240916 3.05068e-21 -4.39725e-18 2.98808e-05 -0.00285521 -4.9057e-21 -4.39725e-18 -4.97017e-06 -0.0334971 -3.05068e-21 3.49663e-19 -4.00581e-05 -0.00232713 1.00774e-20 2.84991e-19 8.2288e-05 -0.014747 0 
-5 1.91525 0.0011336 2.77108e-21 -4.91753e-18 3.31726e-05 -0.0043341 -7.01264e-21 -4.91753e-18 -1.0545e-05 -0.0390211 -2.77108e-21 5.30775e-19 -5.72625e-05 -0.00411629 1.18483e-20 5.041e-19 9.67485e-05 -0.0211542 0 
