x_by_lambda_0 z_by_lambda_0 g_tm_full_log g_tm_refl_re g_te_full_log g_te_refl_re
0.000000e+00 6.072464e+00 -7.623491e+01 -3.288075e-04 -7.621997e+01 -3.286806e-04
0.000000e+00 6.188406e+00 -7.656408e+01 -1.313845e-04 -7.654908e+01 -1.315315e-04
0.000000e+00 6.304348e+00 -7.688665e+01 1.254038e-04 -7.687159e+01 1.250724e-04
0.000000e+00 6.420290e+00 -7.720288e+01 3.115012e-04 -7.718777e+01 3.111601e-04
0.000000e+00 6.536232e+00 -7.751302e+01 3.361780e-04 -7.749785e+01 3.359960e-04
0.000000e+00 6.652174e+00 -7.781729e+01 1.920407e-04 -7.780207e+01 1.920980e-04
0.000000e+00 6.768116e+00 -7.811591e+01 -4.382190e-05 -7.810065e+01 -4.356757e-05
0.000000e+00 6.884058e+00 -7.840908e+01 -2.508270e-04 -7.839378e+01 -2.505126e-04
0.000000e+00 7.000000e+00 -7.869701e+01 -3.263493e-04 -7.868166e+01 -3.261335e-04

1.449275e-01 -1.000000e+00 -3.338337e+03 1.961811e-166 -3.338174e+03 1.929159e-166
1.449275e-01 -8.840580e-01 -2.961069e+03 1.627197e-147 -2.960904e+03 1.602708e-147
1.449275e-01 -7.681159e-01 -2.583801e+03 1.326609e-128 -2.583635e+03 1.308309e-128
1.449275e-01 -6.521739e-01 -2.206534e+03 1.066733e-109 -2.206365e+03 1.053105e-109
1.449275e-01 -5.362319e-01 -1.829266e+03 8.480770e-91 -1.829095e+03 8.379624e-91
1.449275e-01 -4.202899e-01 -1.451998e+03 6.678168e-72 -1.451826e+03 6.603340e-72
1.449275e-01 -3.043478e-01 -1.074731e+03 5.215632e-53 -1.074556e+03 5.160450e-53
1.449275e-01 -1.884058e-01 -6.974630e+02 4.044228e-34 -6.972865e+02 4.003660e-34
1.449275e-01 -7.246377e-02 -3.201954e+02 3.116003e-15 -3.200169e+02 3.086270e-15
1.449275e-01 4.347826e-02 -5.668880e+01 -2.330154e-03 -5.676272e+01 -2.322077e-03
1.449275e-01 1.594203e-01 -4.688122e+01 -1.062180e-03 -4.690779e+01 -1.065325e-03
1.449275e-01 2.753623e-01 -4.507899e+01 4.629438e-04 -4.508991e+01 4.535156e-04
1.449275e-01 3.913043e-01 -4.723243e+01 1.524566e-03 -4.722382e+01 1.514874e-03
1.449275e-01 5.072464e-01 -4.926524e+01 1.717278e-03 -4.925007e+01 1.711717e-03
1.449275e-01 6.231884e-01 -4.366546e+01 1.079925e-03 -4.367265e+01 1.079924e-03
1.449275e-01 7.391304e-01 -3.971884e+01 1.881248e-05 -3.972358e+01 2.302099e-05
1.449275e-01 8.550725e-01 -3.722454e+01 -9.195615e-04 -3.722425e+01 -9.140260e-04
1.449275e-01 9.710145e-01 -3.521346e+01 -1.311370e-03 -3.521116e+01 -1.307330e-03
1.449275e-01 1.086957e+00 -3.671286e+01 -1.034303e-03 -3.671030e+01 -1.033309e-03
1.449275e-01 1.202899e+00 -4.044442e+01 -2.910532e-04 -4.044119e+01 -2.929652e-04
1.449275e-01 1.318841e+00 -4.378300e+01 5.180059e-04 -4.377896e+01 5.146192e-04
1.449275e-01 1.434783e+00 -4.650753e+01 1.000799e-03 -4.650268e+01 9.977790e-04
1.449275e-01 1.550725e+00 -4.877330e+01 9.565205e-04 -4.876769e+01 9.552165e-04
1.449275e-01 1.666667e+00 -5.070924e+01 4.530368e-04 -5.070294e+01 4.537776e-04
1.449275e-01 1.782609e+00 -5.240128e+01 -2.283947e-04 -5.239434e+01 -2.262811e-04
1.449275e-01 1.898551e+00 -5.390665e+01 -7.444392e-04 -5.389911e+01 -7.421586e-04
1.449275e-01 2.014493e+00 -5.526470e+01 -8.583770e-04 -5.525662e+01 -8.570324e-04
1.449275e-01 2.130435e+00 -5.650349e+01 -5.452123e-04 -5.649491e+01 -5.453086e-04
1.449275e-01 2.246377e+00 -5.764364e+01 1.196778e-05 -5.763460e+01 1.067340e-05
1.449275e-01 2.362319e+00 -5.870075e+01 5.249383e-04 -5.869128e+01 5.232206e-04
1.449275e-01 2.478261e+00 -5.968689e+01 7.466329e-04 -5.967703e+01 7.453655e-04
1.449275e-01 2.594203e+00 -6.061162e+01 5.878675e-04 -6.060139e+01 5.876001e-04
1.449275e-01 2.710145e+00 -6.148262e+01 1.503659e-04 -6.147204e+01 1.511062e-04
1.449275e-01 2.826087e+00 -6.230617e+01 -3.345650e-04 -6.229528e+01 -3.332899e-04
1.449275e-01 2.942029e+00 -6.308748e+01 -6.263924e-04 -6.307629e+01 -6.252557e-04
