z_by_lambda_0 rho_by_lambda_0 rel_err_db_tm rel_err_db_te abs_ref_tm abs_ref_te
0.000000e+00 3.928284e+02 -4.452160e+01 -6.189298e+01 6.685274e-06 6.732723e-06
0.000000e+00 4.489251e+02 -4.443121e+01 -6.183862e+01 5.857733e-06 5.894090e-06
0.000000e+00 5.130326e+02 -4.435208e+01 -6.179104e+01 5.131769e-06 5.159625e-06
0.000000e+00 5.862947e+02 -4.428281e+01 -6.174941e+01 4.495117e-06 4.516458e-06
0.000000e+00 6.700188e+02 -4.422218e+01 -6.171299e+01 3.936944e-06 3.953292e-06
0.000000e+00 7.656988e+02 -4.416911e+01 -6.168115e+01 3.447694e-06 3.460217e-06
0.000000e+00 8.750422e+02 -4.412266e+01 -6.165333e+01 3.018948e-06 3.028540e-06
0.000000e+00 1.000000e+03 -4.408201e+01 -6.162904e+01 2.643293e-06 2.650640e-06

3.623188e-01 1.000000e-01 -1.329508e+02 -1.127926e+02 5.407742e-04 5.147381e-04
3.623188e-01 1.142802e-01 -1.334241e+02 -1.132534e+02 5.398805e-04 5.148059e-04
3.623188e-01 1.305997e-01 -1.340550e+02 -1.138613e+02 5.387167e-04 5.148939e-04
3.623188e-01 1.492496e-01 -1.349050e+02 -1.146636e+02 5.372026e-04 5.150080e-04
3.623188e-01 1.705627e-01 -1.360472e+02 -1.157183e+02 5.352350e-04 5.151555e-04
3.623188e-01 1.949194e-01 -1.376159e+02 -1.170829e+02 5.326819e-04 5.153457e-04
3.623188e-01 2.227543e-01 -1.397833e+02 -1.187534e+02 5.293755e-04 5.155900e-04
3.623188e-01 2.545641e-01 -1.427216e+02 -1.204500e+02 5.251043e-04 5.159021e-04
3.623188e-01 2.909163e-01 -1.459042e+02 -1.213077e+02 5.196046e-04 5.162980e-04
3.623188e-01 3.324598e-01 -1.463528e+02 -1.207241e+02 5.125526e-04 5.167957e-04
3.623188e-01 3.799357e-01 -1.442546e+02 -1.196066e+02 5.035581e-04 5.174136e-04
3.623188e-01 4.341913e-01 -1.428517e+02 -1.190127e+02 4.921635e-04 5.181680e-04
3.623188e-01 4.961948e-01 -1.427081e+02 -1.194385e+02 4.778514e-04 5.190684e-04
3.623188e-01 5.670524e-01 -1.432676e+02 -1.210880e+02 4.600661e-04 5.201090e-04
3.623188e-01 6.480286e-01 -1.430772e+02 -1.238488e+02 4.382555e-04 5.212567e-04
3.623188e-01 7.405685e-01 -1.412572e+02 -1.275094e+02 4.119385e-04 5.224334e-04
3.623188e-01 8.463232e-01 -1.379620e+02 -1.333376e+02 3.807985e-04 5.234935e-04
3.623188e-01 9.671799e-01 -1.344252e+02 -1.284786e+02 3.447993e-04 5.241998e-04
3.623188e-01 1.105295e+00 -1.319429e+02 -1.219789e+02 3.043079e-04 5.242026e-04
3.623188e-01 1.263134e+00 -1.307769e+02 -1.185848e+02 2.602086e-04 5.230325e-04
3.623188e-01 1.443512e+00 -1.312990e+02 -1.173812e+02 2.140030e-04 5.201201e-04
3.623188e-01 1.649648e+00 -1.279738e+02 -1.195032e+02 1.679492e-04 5.148502e-04
3.623188e-01 1.885221e+00 -1.181577e+02 -1.281552e+02 1.254454e-04 5.066507e-04
3.623188e-01 2.154435e+00 -1.109948e+02 -1.130537e+02 9.212897e-05 4.950967e-04
3.623188e-01 2.462092e+00 -1.082194e+02 -1.056232e+02 7.669840e-05 4.799963e-04
3.623188e-01 2.813684e+00 -1.078930e+02 -1.010632e+02 8.273293e-05 4.614311e-04
3.623188e-01 3.215484e+00 -1.002029e+02 -9.773687e+01 1.003404e-04 4.397430e-04
3.623188e-01 3.674662e+00 -9.397996e+01 -9.460193e+01 1.195158e-04 4.154812e-04
3.623188e-01 4.199411e+00 -8.921144e+01 -9.151167e+01 1.358468e-04 3.893223e-04
3.623188e-01 4.799096e+00 -8.497917e+01 -8.875730e+01 1.478772e-04 3.619867e-04
3.623188e-01 5.484417e+00 -8.107774e+01 -8.609764e+01 1.553858e-04 3.341706e-04
3.623188e-01 6.267603e+00 -7.741770e+01 -8.356731e+01 1.586966e-04 3.064952e-04
3.623188e-01 7.162629e+00 -7.391962e+01 -8.114594e+01 1.583768e-04 2.794791e-04
3.623188e-01 8.185467e+00 -7.056973e+01 -7.885616e+01 1.550829e-04 2.535280e-04
3.623188e-01 9.354369e+00 -6.736472e+01 -7.670052e+01 1.494746e-04 2.289369e-04
3.623188e-01 1.069019e+01 -6.431403e+01 -7.469531e+01 1.421657e-04 2.059017e-04
3.623188e-01 1.221677e+01 -6.143380e+01 -7.285170e+01 1.336984e-04 1.845334e-04
3.623188e-01 1.396135e+01 -5.874103e+01 -7.117466e+01 1.245317e-04 1.648749e-04
3.623188e-01 1.595506e+01 -5.624948e+01 -6.966332e+01 1.150407e-04 1.469161e-04
3.623188e-01 1.823348e+01 -5.396702e+01 -6.831137e+01 1.055214e-04 1.306080e-04
3.623188e-01 2.083726e+01 -5.189476e+01 -6.710914e+01 9.619843e-05 1.158743e-04
3.623188e-01 2.381286e+01 -5.002759e+01 -6.604484e+01 8.723543e-05 1.026210e-04
3.623188e-01 2.721339e+01 -4.835564e+01 -6.510579e+01 7.874483e-05 9.074366e-05
3.623188e-01 3.109952e+01 -4.686589e+01 -6.427930e+01 7.079768e-05 8.013356e-05
3.623188e-01 3.554059e+01 -4.554365e+01 -6.355318e+01 6.343235e-05 7.068154e-05
3.623188e-01 4.061586e+01 -4.437362e+01 -6.291608e+01 5.666221e-05 6.228113e-05
3.623188e-01 4.641589e+01 -4.334070e+01 -6.235760e+01 5.048203e-05 5.483056e-05
3.623188e-01 5.304417e+01 -4.243049e+01 -6.186839e+01 4.487329e-05 4.823410e-05
3.623188e-01 6.061899e+01 -4.162953e+01 -6.144004e+01 3.980835e-05 4.240273e-05
3.623188e-01 6.927551e+01 -4.092550e+01 -6.106511e+01 3.525386e-05 3.725453e-05
3.623188e-01 7.916819e+01 -4.030718e+01 -6.073702e+01 3.117321e-05 3.271466e-05
3.623188e-01 9.047357e+01 -3.976453e+01 -6.044995e+01 2.752851e-05 2.871521e-05
