f abs_E_z
9.923414e+05 2.714094e-02
1.003851e+06 2.726739e-02
1.015495e+06 2.740158e-02
1.027274e+06 2.754339e-02
1.039189e+06 2.769271e-02
1.051242e+06 2.784941e-02
1.063436e+06 2.801338e-02
1.075770e+06 2.818450e-02
1.088248e+06 2.836267e-02
1.100870e+06 2.854775e-02
1.113639e+06 2.873965e-02
1.126556e+06 2.893826e-02
1.139623e+06 2.914345e-02
1.152842e+06 2.935513e-02
1.166213e+06 2.957318e-02
1.179740e+06 2.979751e-02
1.193424e+06 3.002800e-02
1.207266e+06 3.026457e-02
1.221269e+06 3.050710e-02
1.235434e+06 3.075550e-02
1.249764e+06 3.100968e-02
1.264260e+06 3.126953e-02
1.278924e+06 3.153498e-02
1.293758e+06 3.180593e-02
1.308764e+06 3.208228e-02
1.323945e+06 3.236396e-02
1.339301e+06 3.265087e-02
1.354835e+06 3.294294e-02
1.370550e+06 3.324008e-02
1.386447e+06 3.354221e-02
1.402528e+06 3.384924e-02
1.418796e+06 3.416112e-02
1.435252e+06 3.447774e-02
1.451900e+06 3.479905e-02
1.468740e+06 3.512496e-02
1.485776e+06 3.545540e-02
1.503009e+06 3.579029e-02
1.520442e+06 3.612957e-02
1.538078e+06 3.647315e-02
1.555918e+06 3.682098e-02
1.573965e+06 3.717297e-02
1.592221e+06 3.752906e-02
1.610689e+06 3.788916e-02
1.629371e+06 3.825323e-02
1.648270e+06 3.862116e-02
1.667388e+06 3.899291e-02
1.686728e+06 3.936839e-02
1.706292e+06 3.974753e-02
1.726083e+06 4.013026e-02
1.746104e+06 4.051650e-02
1.766357e+06 4.090618e-02
1.786845e+06 4.129921e-02
1.807570e+06 4.169553e-02
1.828536e+06 4.209504e-02
1.849745e+06 4.249768e-02
1.871200e+06 4.290335e-02
1.892904e+06 4.331197e-02
1.914859e+06 4.372345e-02
1.937070e+06 4.413771e-02
1.959538e+06 4.455465e-02
1.982266e+06 4.497419e-02
2.005258e+06 4.539621e-02
2.028517e+06 4.582063e-02
2.052045e+06 4.624735e-02
2.075847e+06 4.667625e-02
2.099924e+06 4.710723e-02
2.124281e+06 4.754018e-02
2.148921e+06 4.797498e-02
2.173846e+06 4.841152e-02
2.199060e+06 4.884968e-02
2.224567e+06 4.928932e-02
2.250369e+06 4.973032e-02
2.276471e+06 5.017254e-02
2.302875e+06 5.061584e-02
2.329586e+06 5.106009e-02
2.356607e+06 5.150514e-02
2.383941e+06 5.195082e-02
2.411592e+06 5.239699e-02
2.439564e+06 5.284348e-02
2.467860e+06 5.329012e-02
2.496485e+06 5.373674e-02
2.525441e+06 5.418317e-02
2.554733e+06 5.462921e-02
2.584365e+06 5.507468e-02
2.614341e+06 5.551938e-02
2.644665e+06 5.596310e-02
2.675340e+06 5.640565e-02
2.706371e+06 5.684680e-02
2.737762e+06 5.728633e-02
2.769517e+06 5.772401e-02
2.801640e+06 5.815962e-02
2.834136e+06 5.859290e-02
2.867009e+06 5.902360e-02
2.900263e+06 5.945149e-02
2.933903e+06 5.987628e-02
2.967933e+06 6.029770e-02
3.002358e+06 6.071549e-02
3.037182e+06 6.112936e-02
3.072410e+06 6.153901e-02
3.108046e+06 6.194415e-02
3.144096e+06 6.234447e-02
3.180564e+06 6.273965e-02
3.217455e+06 6.312938e-02
3.254774e+06 6.351332e-02
3.292526e+06 6.389113e-02
3.330716e+06 6.426249e-02
3.369348e+06 6.462703e-02
3.408429e+06 6.498440e-02
3.447963e+06 6.533424e-02
3.487956e+06 6.567617e-02
3.528412e+06 6.600983e-02
3.569338e+06 6.633482e-02
3.610738e+06 6.665077e-02
3.652619e+06 6.695728e-02
3.694985e+06 6.725396e-02
3.737843e+06 6.754040e-02
3.781198e+06 6.781620e-02
3.825055e+06 6.808095e-02
3.869422e+06 6.833425e-02
3.914303e+06 6.857568e-02
3.959704e+06 6.880483e-02
4.005633e+06 6.902130e-02
4.052094e+06 6.922467e-02
4.099093e+06 6.941453e-02
4.146638e+06 6.959049e-02
4.194735e+06 6.975214e-02
4.243389e+06 6.989910e-02
4.292608e+06 7.003098e-02
4.342397e+06 7.014740e-02
4.392764e+06 7.024801e-02
4.443715e+06 7.033246e-02
4.495258e+06 7.040042e-02
4.547398e+06 7.045158e-02
4.600143e+06 7.048564e-02
4.653499e+06 7.050234e-02
4.707475e+06 7.050144e-02
4.762076e+06 7.048272e-02
4.817311e+06 7.044602e-02
4.873186e+06 7.039119e-02
4.929710e+06 7.031814e-02
4.986889e+06 7.022682e-02
5.044732e+06 7.011723e-02
5.103245e+06 6.998942e-02
5.162437e+06 6.984351e-02
5.222315e+06 6.967970e-02
5.282889e+06 6.949823e-02
5.344164e+06 6.929945e-02
5.406151e+06 6.908377e-02
5.468856e+06 6.885171e-02
5.532289e+06 6.860389e-02
5.596457e+06 6.834104e-02
5.661370e+06 6.806399e-02
5.727036e+06 6.777370e-02
5.793463e+06 6.747129e-02
5.860661e+06 6.715797e-02
5.928638e+06 6.683515e-02
5.997404e+06 6.650437e-02
6.066967e+06 6.616733e-02
6.137337e+06 6.582592e-02
6.208523e+06 6.548220e-02
6.280535e+06 6.513843e-02
6.353383e+06 6.479703e-02
6.427075e+06 6.446063e-02
6.501622e+06 6.413204e-02
6.577033e+06 6.381429e-02
6.653320e+06 6.351054e-02
6.730491e+06 6.322417e-02
6.808557e+06 6.295869e-02
6.887529e+06 6.271777e-02
6.967417e+06 6.250519e-02
7.048231e+06 6.232481e-02
7.129983e+06 6.218058e-02
7.212683e+06 6.207642e-02
7.296342e+06 6.201625e-02
7.380971e+06 6.200390e-02
7.466583e+06 6.204308e-02
7.553187e+06 6.213729e-02
7.640795e+06 6.228978e-02
7.729420e+06 6.250350e-02
7.819073e+06 6.278103e-02
7.909765e+06 6.312451e-02
8.001510e+06 6.353563e-02
8.094319e+06 6.401554e-02
8.188204e+06 6.456483e-02
8.283178e+06 6.518353e-02
8.379254e+06 6.587105e-02
8.476444e+06 6.662619e-02
8.574761e+06 6.744716e-02
8.674219e+06 6.833154e-02
8.774830e+06 6.927635e-02
8.876609e+06 7.027804e-02
8.979568e+06 7.133254e-02
9.083721e+06 7.243527e-02
9.189082e+06 7.358120e-02
9.295665e+06 7.476487e-02
9.403485e+06 7.598045e-02
9.512555e+06 7.722174e-02
9.622890e+06 7.848226e-02
9.734505e+06 7.975524e-02
9.847414e+06 8.103368e-02
